LinkedNodeID,nid ( Content Page ID),Lang,title ( Content page title),H5Pcontent
512,514,mr,Drug Sensitive Tuberculosis [DS-TB],
518,519,en,Patient interaction with TB Care Ecosystem,5965
518,519,gu,Patient interaction with TB Care Ecosystem,
518,519,hi,Patient interaction with TB Care Ecosystem,5966
518,519,mr,Patient interaction with TB Care Ecosystem,
518,519,ta,Patient interaction with TB Care Ecosystem,5967
520,521,en,Role of Health Volunteers,4908
520,521,gu,Role of Health Volunteers,
520,521,hi,Role of Health Volunteers,4907
520,521,mr,Role of Health Volunteers,
520,521,ta,Role of Health Volunteers,4909
522,523,en,Symptoms of TB Disease,6544
522,523,gu,Symptoms of TB Disease,
522,523,hi,Symptoms of TB Disease,6545
522,523,mr,Symptoms of TB Disease,
522,523,ta,Symptoms of TB Disease,6546
522,523,te,Symptoms of TB Disease,6543
160,530,en,Educating patient on Sputum collection and dispensing Sputum cup,1349
536,539,en,Presumptive Pulmonary TB,5624
536,539,gu,Presumptive Pulmonary TB,
536,539,hi,Presumptive Pulmonary TB,5625
536,539,mr,Presumptive Pulmonary TB,
536,539,ta,Presumptive Pulmonary TB,5626
536,539,te,Presumptive Pulmonary TB,5627
537,540,en,Presumptive EP-TB,5628
537,540,hi,Presumptive EP-TB,
537,540,mr,Presumptive EP-TB,
538,541,en,Presumptive Paediatric TB,3957
542,549,en,Sputum Collection Process,5609
542,549,gu,Sputum Collection Process,
542,549,hi,Sputum Collection Process,5610
542,549,ta,Sputum Collection Process,5611
550,551,en,Role of Health Volunteers in TB Case Finding,4930
550,551,gu,Role of Health Volunteers in TB Case Finding,
550,551,hi,Role of Health Volunteers in TB Case Finding,4929
550,551,ta,Role of Health Volunteers in TB Case Finding,4931
4,552,en,Prevention of TB,4934
4,552,gu,Prevention of TB,
4,552,hi,Prevention of TB,4933
4,552,mr,Prevention of TB,
4,552,ta,Prevention of TB,4935
4,552,te,Prevention of TB,4936
237,553,en,First line anti TB drugs,5547
237,553,mr,First line anti TB drugs,
3,554,en,Management of TB Disease,1298
239,555,en,Treatment Phases,5536
239,555,hi,Treatment Phases,
239,555,te,Treatment Phases,5537
240,556,en,Fixed Dose Combinations [FDC]s,5538
240,556,gu,Fixed Dose Combinations [FDC]s,
240,556,hi,Fixed Dose Combinations [FDC]s,5539
240,556,mr,Fixed Dose Combinations [FDC]s,
240,556,ta,Fixed Dose Combinations [FDC]s,5540
240,556,te,Fixed Dose Combinations [FDC]s,5541
562,564,en,Advantages of FDCs,5542
562,564,te,Advantages of FDCs,5543
575,578,en,Direct Benefit Transfer (DBT) under NTEP,5859
575,578,gu,Direct Benefit Transfer(DBT) under NTEP,
575,578,hi,Direct Benefit Transfer (DBT) under NTEP,5860
575,578,mr,Direct Benefit Transfer(DBT) under NTEP,
575,578,ta,Direct Benefit Transfer(DBT) under NTEP,5861
575,578,te,Direct Benefit Transfer(DBT) under NTEP,5862
261,580,en,HIV in TB Patients,5385
261,580,te,HIV in TB Patients,5384
582,583,en,Chemotherapy and its implication in TB control,4117
585,587,en,Epidemiological Triad of TB,6924
585,587,mr,Epidemiological Triad of TB,6923
585,587,te,Epidemiological Triad of TB,6925
589,590,en,Interaction of STS with TB Patient Care Ecosystem,6297
589,590,te,Interaction of STS with TB Patient Care Ecosystem,6296
89,591,en,End TB strategy,710
565,594,en,Interaction of Health Volunteers with TB Patient care ecosystem,3233
593,595,en,Drug-Resistant Tuberculosis(DR-TB),6452
593,595,gu,Drug-Resistant Tuberculosis(DR-TB),
593,595,hi,Drug-Resistant Tuberculosis(DR-TB),6453
593,595,mr,Drug-Resistant Tuberculosis(DR-TB),
593,595,ta,Drug-Resistant Tuberculosis(DR-TB),6454
593,595,te,Drug-Resistant Tuberculosis(DR-TB),6451
592,596,en,Drug-Sensitive Tuberculosis(DS-TB),4965
592,596,gu,Drug-Sensitive Tuberculosis(DS-TB),
592,596,hi,Drug-Sensitive Tuberculosis(DS-TB),4964
592,596,mr,Drug-Sensitive Tuberculosis(DS-TB),
592,596,ta,Drug-Sensitive Tuberculosis(DS-TB),4966
592,596,te,Drug-Sensitive Tuberculosis(DS-TB),4967
563,598,en,FDCs used in NTEP,5544
563,598,gu,FDCs used in NTEP,
563,598,hi,FDCs used in NTEP,5545
563,598,mr,FDCs used in NTEP,
563,598,ta,FDCs used in NTEP,5546
238,599,en,TB Drug Regimen,7144
238,599,te,TB Drug Regimen,7145
600,601,en,Categorization of TB Treatment Regimen,4899
600,601,gu,Categorization of TB Treatment Regimen,
600,601,hi,Categorization of TB Treatment Regimen,4898
600,601,mr,Categorization of TB Treatment Regimen,
600,601,ta,Categorization of TB Treatment Regimen,4900
121,602,en,Classification of TB cases based on history of Previous TB treatment,7471
121,602,mr,Classification of TB cases based on history of Previous TB treatment,7470
121,602,te,Classification of TB cases based on history of Previous TB treatment,7472
242,603,en,Follow-up of TB patient,6447
242,603,gu,Follow-up of TB patient,
242,603,hi,Follow-up of TB patient,6448
242,603,mr,Follow-up of TB patient,
242,603,ta,Follow-up of TB patient,6449
242,603,te,Follow-up of TB patient,6446
247,604,en,TB Treatment Outcome,7146
247,604,mr,TB Treatment Outcome,
247,604,te,TB Treatment Outcome,7147
28,605,en,Adverse Drug Reactions,5677
28,605,mr,Adverse Drug Reactions,
606,608,en,Types of ADR of TB Treatment,5678
606,608,mr,Types of ADR of TB Treatment,
606,608,te,Types of ADR of TB Treatment,5679
607,609,en,Management of Adverse Drug Reactions(ADRs) of TB Treatment,5680
607,609,mr,Management of Adverse Drug Reactions(ADRs) of TB Treatment,
607,609,te,Management of Adverse Drug Reactions(ADRs) of TB Treatment,5681
610,611,en,Long Term Post-treatment follow up of TB patients,5569
610,611,gu,Long Term Post-treatment follow up of TB patients,
610,611,hi,Long Term Post-treatment follow up of TB patients,5570
610,611,mr,Long Term Post-treatment follow up of TB patients,
610,611,ta,Long Term Post-treatment follow up of TB patients,5571
610,611,te,Long Term Post-treatment follow up of TB patients,5572
134,612,en,Nikshay interfaces- Web and Mobile application,4940
134,612,gu,Nikshay interfaces- Web and Mobile application,
134,612,mr,Nikshay interfaces- Web and Mobile application,
134,612,ta,Nikshay interfaces- Web and Mobile application,4941
613,614,en,How to register on Nikshay as Treatment Supporter /Informant?,4776
80,615,en,TB Aarogya Sathi,7156
80,615,gu,TB Aarogya Sathi,
80,615,hi,TB Aarogya Sathi,7157
80,615,mr,TB Aarogya Sathi,
80,615,ta,TB Aarogya Sathi,7158
616,618,en,Citizen – TB Aarogya Sathi Application,4777
616,618,mr,Citizen – TB Aarogya Sathi Application,
617,619,en,Patient – TB Aarogya Sathi Application,4778
617,619,mr,Patient – TB Aarogya Sathi Application,
621,623,en,DS-TB Treatment – Patient Flow,5359
621,623,te,DS-TB Treatment – Patient Flow,5358
622,624,en,DSTB Treatment Phases,4969
622,624,gu,DSTB Treatment Phases,
622,624,hi,DSTB Treatment Phases,4968
622,624,mr,DSTB Treatment Phases,
622,624,ta,DSTB Treatment Phases,4970
622,624,te,DSTB Treatment Phases,4971
625,627,en,Adverse Drug Reactions(ADRs) to First Line Treatment,6485
625,627,gu,Adverse Drug Reactions(ADRs) to First Line Treatment,
625,627,hi,Adverse Drug Reactions(ADRs) to First Line Treatment,6486
625,627,mr,Adverse Drug Reactions(ADRs) to First Line Treatment,
625,627,ta,Adverse Drug Reactions(ADRs) to First Line Treatment,6487
625,627,te,Adverse Drug Reactions(ADRs) to First Line Treatment,6484
626,628,en,Adverse Drug Reactions(ADRs) to Second Line Treatment,6489
626,628,gu,Adverse Drug Reactions(ADRs) to Second Line Treatment,
626,628,hi,Adverse Drug Reactions(ADRs) to Second Line Treatment,6490
626,628,mr,Adverse Drug Reactions(ADRs) to Second Line Treatment,
626,628,ta,Adverse Drug Reactions(ADRs) to Second Line Treatment,6491
626,628,te,Adverse Drug Reactions(ADRs) to Second Line Treatment,6488
629,632,en,Screening for DR-TB,6342
629,632,mr,Screening for DR-TB,
629,632,te,Screening for DR-TB,6341
630,633,en,DR-TB Treatment Regimens,1134
631,634,en,DR-TB Treatment – Patient Flow,5363
631,634,te,DR-TB Treatment – Patient Flow,5362
635,636,en,Testing for TB Infection,5769
635,636,te,Testing for TB Infection,5770
30,637,en,TB Treatment Adherence,5684
30,637,gu,TB Treatment Adherence,
30,637,hi,TB Treatment Adherence,5685
30,637,mr,TB Treatment Adherence,
30,637,ta,TB Treatment Adherence,5686
30,637,te,TB Treatment Adherence,5687
265,638,en,Importance of Treatment adherence,5688
265,638,gu,Importance of Treatment adherence,
265,638,hi,Importance of Treatment adherence,5689
265,638,mr,Importance of Treatment adherence,
265,638,ta,Importance of Treatment adherence,5690
265,638,te,Importance of Treatment adherence,5691
266,639,en,Recording and Monitoring Adherence,6495
266,639,gu,Recording and Monitoring Adherence,
266,639,hi,Recording and Monitoring Adherence,
266,639,mr,Recording and Monitoring Adherence,
266,639,ta,Recording and Monitoring Adherence,6496
266,639,te,Recording and Monitoring Adherence,6494
267,640,en,Digital Adherence Monitoring Technologies,5692
267,640,gu,Digital Adherence Monitoring Technologies,
267,640,hi,Digital Adherence Monitoring Technologies,5693
267,640,mr,Digital Adherence Monitoring Technologies,
267,640,ta,Digital Adherence Monitoring Technologies,5694
267,640,te,Digital Adherence Monitoring Technologies,5695
268,641,en,Recording manual doses in Ni-kshay,5700
268,641,gu,Recording manual doses in Nikshay,
268,641,hi,Recording manual doses in Ni-kshay,5701
268,641,mr,Recording manual doses in Nikshay,
268,641,ta,Recording manual doses in Ni-kshay,5702
268,641,te,Recording manual doses in Ni-kshay,5703
269,642,en,Recording missed doses in Ni-kshay,5704
269,642,gu,Recording missed doses in Nikshay,
269,642,hi,Recording missed doses in Ni-kshay,5705
269,642,mr,Recording missed doses in Nikshay,
269,642,ta,Recording missed doses in Ni-kshay,5706
269,642,te,Recording missed doses in Ni-kshay,5707
566,643,en,Role of Health Volunteers in TB Treatment and care,5025
566,643,gu,Role of Health Volunteers in TB Treatment and care,
566,643,hi,Role of Health Volunteers in TB Treatment and care,5024
566,643,mr,Role of Health Volunteers in TB Treatment and care,
566,643,ta,Role of Health Volunteers in TB Treatment and care,5026
260,645,en,Comorbidity & special situation with TB,5755
260,645,te,Comorbidity & special situation with TB,5756
262,646,en,Diabetes among people with TB,7189
262,646,te,Diabetes among people with TB,7190
647,648,en,Malnutrition among people with TB,5749
647,648,te,Malnutrition among people with TB,5750
649,651,en,Alcoholism among people with TB,6346
649,651,te,Alcoholism among people with TB,6345
263,652,en,Pregnancy and Lactation in TB Patients,5761
263,652,te,Pregnancy and Lactation in TB Patients,5762
650,653,en,Tobacco use among people with TB,7149
650,653,te,Tobacco use among people with TB,7150
264,654,en,COVID-19 in TB patients,5763
264,654,te,COVID-19 in TB patients,5764
29,655,en,Patient Support,5466
29,655,te,Patient Support,5465
249,659,en,Public Health Actions,5816
249,659,gu,Public Health Actions,
249,659,hi,Public Health Actions,5817
249,659,mr,Public Health Actions,
249,659,ta,Public Health Actions,5818
249,659,te,Public Health Actions,5819
55,660,en,Contact Tracing and Investigation,5832
55,660,gu,Contact Tracing and Investigation,
55,660,hi,Contact Tracing and Investigation,5833
55,660,mr,Contact Tracing and Investigation,
55,660,ta,Contact Tracing and Investigation,5834
55,660,te,Contact Tracing and Investigation,5835
656,661,en,Home visit to TB Patients,5104
656,661,gu,Home visit to TB Patients,
656,661,hi,Home visit to TB Patients,5103
656,661,mr,Home visit to TB Patients,
656,661,ta,Home visit to TB Patients,5105
662,663,en,Task performed by Health Volunteers on Home Visit to TB Patient,5110
662,663,gu,Task performed by Health Volunteers on Home Visit to TB Patient,
662,663,hi,Task performed by Health Volunteers on Home Visit to TB Patient,5109
662,663,mr,Task performed by Health Volunteers on Home Visit to TB Patient,
662,663,ta,Task performed by Health Volunteers on Home Visit to TB Patient,5111
657,664,en,Treatment supporter to TB Patient,5735
657,664,gu,Treatment supporter to TB Patient,
657,664,hi,Treatment supporter to TB Patient,5736
657,664,mr,Treatment supporter to TB Patient,
657,664,ta,Treatment supporter to TB Patient,5737
657,664,te,Treatment supporter to TB Patient,5738
658,665,en,Patient Management SMS,3834
277,666,en,Counselling of TB Patients at Various Stages of Treatment,6458
277,666,gu,Counselling of TB Patients,
277,666,hi,Counselling of TB Patients at Various Stages of Treatment,6459
277,666,mr,Counselling of TB Patients,
277,666,ta,Counselling of TB Patients,6460
277,666,te,Counselling of TB Patients at Various Stages of Treatment,6457
276,669,en,Do's & Don'ts for Patient Communication,5845
276,669,gu,Do's & Don'ts for Patient Communication,
276,669,hi,Do's & Don'ts for Patient Communication,5846
276,669,mr,Do's & Don'ts for Patient Communication,
276,669,ta,Do's & Don'ts for Patient Communication,5847
276,669,te,Do's & Don'ts for Patient Communication,5848
667,670,en,TB Awareness Generation in Community,6504
667,670,gu,TB Awareness Generation in Community,
667,670,hi,TB Awareness Generation in Community,6505
667,670,mr,TB Awareness Generation in Community,
667,670,ta,TB Awareness Generation in Community,6506
667,670,te,TB Awareness Generation in Community,6503
668,671,en,Nutritional Counselling for TB Patients,5311
668,671,gu,Nutritional Counselling for TB Patients,
668,671,hi,Nutritional Counselling for TB Patients,5310
668,671,mr,Nutritional Counselling for TB Patients,
668,671,ta,Nutritional Counselling for TB Patients,5312
577,672,en,Criteria for availing DBT Scheme benefits under NPY,7218
577,672,gu,Criteria for availing DBT Scheme benefits under NPY,
577,672,hi,Criteria for availing DBT Scheme benefits under NPY,7219
577,672,mr,Criteria for availing DBT Scheme benefits under NPY,
577,672,ta,Criteria for availing DBT Scheme benefits under NPY,7220
577,672,te,Criteria for availing DBT Scheme benefits under NPY,7221
568,673,en,Role of Health Volunteers in Community Mobilization,1259
567,674,en,Role of Health Volunteers in Community Engagement,5163
567,674,gu,Role of Health Volunteers in Community Engagement,
567,674,hi,Role of Health Volunteers in Community Engagement,5162
567,674,ta,Role of Health Volunteers in Community Engagement,5164
573,675,en,TB Champion,6247
573,675,gu,TB Champion,
573,675,hi,TB Champion,6248
573,675,mr,TB Champion,
573,675,ta,TB Champion,6249
573,675,te,TB Champion,6246
572,676,en,Strategies of Community Engagement in NTEP,6237
572,676,te,Strategies of Community Engagement in NTEP,6236
571,677,en,Importance of Community Engagement in TB,6233
571,677,gu,Importance of Community Engagement in TB,
571,677,hi,Importance of Community Engagement in TB,6234
571,677,mr,Importance of Community Engagement in TB,
571,677,ta,Importance of Community Engagement in TB,6235
571,677,te,Importance of Community Engagement in TB,6232
570,678,en,Community Engagement in NTEP,6229
570,678,gu,Community Engagement,
570,678,hi,Community Engagement in NTEP,6230
570,678,ta,Community Engagement,6231
570,678,te,Community Engagement in NTEP,6228
679,680,en,Treatment Supporter Honorarium Eligibility,5877
679,680,gu,Treatment Supporter Honorarium Eligibility,
679,680,hi,Treatment Supporter Honorarium Eligibility,5878
679,680,mr,Treatment Supporter Honorarium Eligibility,
679,680,ta,Treatment Supporter Honorarium Eligibility,5879
679,680,te,Treatment Supporter Honorarium Eligibility,5880
569,681,en,Role of Health Volunteers in Digital Interventions,1268
682,683,en,Wellness Activity for TB Patients,6281
682,683,te,Wellness Activity for TB Patients,6280
684,685,en,Psychosocial Support to People affected by TB,5824
684,685,te,Psychosocial Support to People affected by TB,5825
273,686,en,Addressing Gender Inequalities,6277
273,686,te,Addressing Gender Inequalities,6276
272,687,en,Gender Aspects of TB,6275
272,687,te,Gender Aspects of TB,6274
271,688,en,Effects of Stigma on TB Patients,6259
271,688,gu,Effects of Stigma on TB Patients,
271,688,hi,Effects of Stigma on TB Patients,6260
271,688,mr,Effects of Stigma on TB Patients,
271,688,ta,Effects of Stigma on TB Patients,6261
271,688,te,Effects of Stigma on TB Patients,6258
270,689,en,Stigma and Discrimination towards TB Patient,6255
270,689,gu,Stigma and Discrimination towards TB Patient,
270,689,hi,Stigma and Discrimination towards TB Patient,6256
270,689,mr,Stigma and Discrimination towards TB Patient,
270,689,ta,Stigma and Discrimination towards TB Patient,6257
270,689,te,Stigma and Discrimination towards TB Patient,6254
59,690,en,Vulnerable Population for Tuberculosis,6540
59,690,gu,Vulnerable Population for Tuberculosis,
59,690,hi,Vulnerable Population for Tuberculosis,6541
59,690,mr,Vulnerable Population for Tuberculosis,
59,690,ta,Vulnerable Population for Tuberculosis,6542
59,690,te,Vulnerable Population for Tuberculosis,6539
691,693,en,Determinants of TB Disease,6522
691,693,gu,Determinants of TB Disease,
691,693,hi,Determinants of TB Disease,6523
691,693,mr,Determinants of TB Disease,
691,693,ta,Determinants of TB Disease,6524
691,693,te,Determinants of TB Disease,6521
692,694,en,Socio-Economic Determinants for Tuberculosis,889
40,697,en,Supply Chain Management,5974
40,697,te,Supply Chain Management,5973
698,699,en,NTEP Objectives- in relation to NSP 2017-2025,7259
698,699,mr,NTEP Objectives- in relation to NSP 2017-2025,7258
698,699,te,NTEP Objectives- in relation to NSP 2017-2025,7260
100,704,en,DR-TB Centres and Network,7300
100,704,mr,DR-TB Centres and Network,7299
100,704,te,DR-TB Centres and Network,7301
106,705,en,Tuberculosis Unit,
706,707,en,Registers & Documentation at TU level,
